MaxT,MinT,WindSpeed,Humidity ,Precipitation
39.3,29.3,3.4,50.8,0.0
38.1,29.1,2.8,48.3,3.4
38.8,28.6,2.9,57.0,0.0
38.6,28.8,2.7,56.7,4.5
37.4,28.0,2.8,52.6,4.5
36.6,28.1,3.0,60.8,0.0
31.1,25.6,2.0,72.3,18.7
33.5,26.5,1.9,72.0,0.0
33.1,27.9,2.2,70.5,21.6
34.2,26.4,2.8,70.7,10.8
34.5,27.2,3.6,68.4,5.4
35.6,27.3,4.1,67.7,0.0
35.3,27.4,4.3,68.5,4.5
30.8,26.8,3.4,75.9,22.7
30.1,26.2,4.1,69.9,13.6
31.8,26.8,5.0,74.9,4.5
32.4,26.6,4.6,67.0,19.5
29.1,26.8,4.9,62.7,20.8
30.5,26.9,5.5,69.0,20.8
32.0,27.8,4.9,83.3,6.5
34.7,27.8,5.0,56.6,0.0
35.5,27.7,4.7,62.5,0.0
36.4,28.2,4.7,68.8,0.0
37.2,29.6,4.9,63.8,0.0
36.4,29.5,5.2,63.2,0.0
36.5,29.5,5.0,64.4,0.0
36.7,29.0,4.7,68.6,0.0
35.5,28.0,4.4,72.6,0.0
36.9,28.9,5.0,69.9,0.0
34.1,27.5,4.9,69.8,10.5
33.8,27.0,5.0,63.7,10.5
36.5,28.5,4.4,66.6,0.0
36.4,28.9,4.8,62.4,0.0
36.6,27.6,4.4,73.8,0.0
36.3,27.7,4.2,76.9,0.0
34.6,28.6,4.4,77.4,13.2
32.6,27.0,4.5,76.3,34.6
32.7,24.7,4.5,76.2,11.5
32.8,26.0,4.2,74.9,5.8
34.6,27.3,3.6,74.9,0.0
30.0,26.7,3.6,78.3,0.0
31.0,26.2,3.5,82.4,32.2
28.6,25.2,4.1,85.3,43.3
30.2,25.2,4.7,76.7,0.0
30.2,25.7,5.2,75.3,6.6
32.4,26.6,4.9,75.8,0.0
34.3,27.7,5.0,70.9,0.0
30.7,27.0,4.2,76.0,32.0
27.4,25.7,4.6,69.1,51.2
25.7,24.5,4.7,70.6,51.2
27.0,24.4,5.1,69.0,51.2
30.9,25.1,4.5,85.2,12.8
32.6,26.1,4.7,75.2,0.0
34.0,26.2,4.3,74.6,0.0
34.1,27.0,4.5,76.8,0.0
33.7,26.1,4.0,75.0,15.5
33.3,26.1,4.4,73.6,15.5
32.4,25.8,4.1,73.1,3.1
31.5,26.5,3.8,73.4,4.3
32.9,27.2,4.9,72.6,0.0
34.1,27.6,4.8,69.4,0.0
33.5,28.2,4.5,71.5,10.0
32.7,27.2,4.0,78.4,11.8
32.3,26.1,4.5,72.5,4.7
34.1,27.0,4.1,78.8,0.0
35.7,26.9,2.7,72.6,6.9
33.7,26.5,3.1,70.3,9.4
32.5,26.5,3.3,65.6,6.7
30.0,26.4,3.9,78.1,16.8
32.6,27.2,3.2,71.3,3.3
33.8,27.0,3.3,77.7,10.1
34.4,26.0,2.7,76.7,0.0
33.3,27.9,3.5,75.1,0.0
32.6,27.7,3.8,73.3,5.1
29.6,26.3,4.0,70.9,10.1
30.9,25.6,3.8,73.2,12.7
31.8,26.3,4.1,73.9,0.0
32.8,26.8,3.8,68.0,0.0
35.0,26.6,3.1,67.5,0.0
34.7,26.3,2.2,73.4,5.8
34.7,26.8,2.5,67.2,14.9
35.2,26.4,2.7,74.1,20.8
31.7,24.9,2.9,79.3,11.9
33.6,26.7,2.6,81.0,11.1
33.6,27.1,2.2,75.4,0.0
34.5,26.9,1.8,77.8,0.0
34.5,27.0,2.4,79.7,0.0
34.1,26.9,2.1,83.2,0.0
33.5,27.3,2.5,69.5,0.0
35.1,27.5,2.3,76.3,0.0
34.4,26.8,1.7,66.3,3.8
33.6,25.7,2.1,72.2,7.7
29.4,25.1,1.7,82.4,12.8
29.1,25.1,2.7,75.3,25.8
28.8,24.8,3.4,77.2,34.4
29.7,25.0,3.3,73.7,13.0
28.1,24.8,3.7,77.6,8.6
28.8,24.4,3.5,74.6,17.2
30.4,25.4,3.8,77.8,9.4
31.3,26.6,3.6,74.6,10.8
30.7,26.3,3.0,76.1,6.6
32.3,25.7,2.7,76.9,11.3
32.7,25.3,2.5,80.6,0.0
34.1,25.7,2.9,71.8,0.0
34.7,25.8,2.5,73.2,0.0
